cleaned_review,compound,sentiment
connector provided boon old samsung lcd monitor proactively using monitor screen finishing product improved would better purchase optionsave purpose well without issue satisfiedworking finego itits work properly good product poor qualityi buy product many review product much clear get job done buy get display much clear still price good compare productsgoodit worked really well month started showing cheap chinese side display keep disconnecting randomly come back headache readwork external monitor since keep disconnecting external monitor reconnects,0.9442,Positive
overall goodtv picture smart bettersound low another brandservice provider refuse install bad service samsung calling time service provider meet home addresswhy bad badthey product come support stand wall hanging hook install tvpicture quality poor cablesfloor stand come buy seperately request amazon cleary mention add pay seperate charge installation guy buy floor mount good,-0.7003,Negative
worked iphone didnt work iphone didnt like still use workproduct quite good fast chargingloved iti like look last longthe sturdiness depend manner use speed charging great good product average income groupits great charging device various type port work best charging one device timegood item,0.9482,Positive
wonderfulprobably best price range inrgood google interface loaded feature lightweight watt power consumption stable designaverage sound picture quality quite good compare premium brand obviously goodfeatures streaming apps available compatible connect wifi lan cable hdmi set top box laptop usb gaming console old dish cable direct antenna well built chromecast cast compatible app directly phone wifi networkways connect phone via cast feature mobile apps password needed need wifi network via chromecast app project selected medium pic video entire phone screenways connect pclaptop window cast option project entire laptop screen using window cast option need connected wifi network via hdmi cableabout amazon installation service awful technician brought cheap hanging hook mrp inr asked inr without receipt kept telling sale company sent specially however clearly mrp mentioned went market bought much better cabinet inr installation well technician really adamant drill two required hole top drilled one top one bottom kept spare screw bought half hour argument finally drilled required hole kept cussing wasted time assistance person represented service agency wellthis whole process took two hour complete lot argument worst installation experience life farbottomline please avail called free installation service amazon scam instead call acer support job much betterafter using month pro conspros great picture quality awesome black good adjustable sound good look great thin besel remote come favorite ott button content upscaling goodcons remote could better cant use dth remote turn televisison set top box remote operation bit complex motion technology great noticeable blur watching moving ballson ott decrease switch dthoverall nice buy price point think getting fairly better picture quality sound satisfied productproduct good picture quality good product price sound application running smoothly month older issue yet running smoothlyyou get decent feature price pay screen resolution might set back may find pixalation overall goodi amazed picture quality ready truly amazing panel found suitable viewing distance foot nearer may look crisp farther feel like small size speaker also good price get loud without distortion however since speaker downward firing experience vary based whether wall mounted kept standthe remote good voice search work well start take long time opinion compared inch hence know stand among peer ghz wifi work well even across wall negative aspect faced wrt experience using bluetooth headphonesearphones firstly connection sometimes doesnt happen automatically restart mean remove rediscover device thru menu simple secondly signal seems weak even distance foot front signal break even move head incheshowever still super happy got launch offer totally worth recommended sideat price rangeit good quality product marketacer work sound quality improvement otherwise okpicture quality really impressivewifi connectivity goodeasy installboderless screen design premium also google voice support goodsometimes laggingno major issue found tvjust itvellu money good productvery nice productsave money,0.9983,Positive
signal unstable connect need bit adjustment unplugging moving wire get proper signal job want experiment hdmi wasnt sure would work otherwise good quality breaded cablegood productthe cable come box box shipped without packaging branding mentioned pay quality product expect certain quality still idea speed cable notgoodbought connect monitor cctv android quality pricei give reason amazon delivery super fast day delivery within hour delivery person good robust built quality look feel premium working excellent using lapptop big screen connectivity could see undistorted picture sound nicely worka word con feel little hard adjust bend per requirement less flexible may serious concernoverall nice experience fargood joblike,0.9648,Positive
oneplus great want affordable middle range feature got offer totally worth itpros sound awesome satisfied quality sound dolby audio speaker really great sure affordable size slim slim look stylish light weight handy install easy install mount wall tye software installation set easy anyone home get integrated mobile apps remote wifi network quickly easily overall sign process app installation quick automatic support smart feature like netflix prime youtube easily installable signin start using quickly also easy scan setup box channel start viewing themcons picture quality average clear worth price range ill complaint cost affordable quality justified bluetooth wifi connection disconnect sometimes cause issue encountered disconnect issue reset complete device complete sign againrest good loved product feel worth ordering looking something medium range need old parent dont extensive smart use thisif want use lot smart feature ott platform watch movie sport better version full quality give good experience sport due less picture quality good daily family show channelsone last thing want express ver disappointed thisi got order delivered friday scheduled installation saturday nobody turned day reschedule tuesday morning even today nobody turned got call amazon reschedule tuesday evening still nobody turned upthis bad irresponsible service oneplus amazon disappointed service highly criticize behavior company always take care customer satisfaction failed thiswhat guy expect wait day get installed even delivered wait guy come many day even smart delivered home wait enjoy guy done job properlyat least keep decency respect customer paying big amount ordering big item company take care money spent worth facing issue highly disappointed behavior servicegood productconnectivity fasterbut performance little bit slowerthe biggest problem face dont aux cable able connect sound barthe hdmi port useless wont work soi connect via bluetooth problem wont connect automatically everytime need connect manually basic feature provided another drawback fast beginning month super laggy even update sameyeaa price range picture quality outstandingthats allgood quality picture volume little bit low product nice budget friendly happy day perform slowly remote sentencethank amazon oneplus sound good easy installation slim less weight voice recognition goodlikebudgetfriendlydislikewifi connectivity range poormany time get disconnectedcolor depth good,0.9975,Positive
product seems work good fast charging cable three port connected slower charging good single cable three port product yiu looking fast charging would say think twice buyi using foe sure fast charging cable tge lightning charger working properly every check charging iphone unplug reply charging getting disconnected dont understand cable oki used type commonly depending device power wats also etcnice chargercharging bit slow connect multiple devicescannot transfer dataonly charging purposeso nice colour cheap bestthe cable look decent charging fit support apple car play,0.9274,Positive
fast chargingcable seems good quality used much keep backup carits good sturdy durableit support fast chargingonly thing little expensivenice producti writing review day usage product found durable sturdy also good travelling keep bag without kind box would recommend allbest wire type lighting connector buy worth moneyvalue moneyi happy product quality good durable,0.956,Positive
one amazing cable bucksok charging look sturdy durablefast charging upto watt length really durablebought like time passed older cable family member still working statei bought almost last three year post heavy usage gon buy good qualitygood quality usb charging cable enables fast charging samsung well seeking phone metre cable length helpful keeping phone desk charging adaptor plugged electric outlet best value similar cable cost retail market best pricegreat product wanted portable battery usb slot ipad kindle reader usbc port fit requirement perfectly charge fastgoodvery good overall,0.987,Positive
sufficient lengthexcellent build quality good alternative generic cablesstrong cable cable end nearly like rubber gold coated cable also high thicknesswhy bought dvr rack dvr far reach limit hence need mouse connected usb port dvr rack reachany alternativeswireless mouse didnt work well particular dvr lot lag hence resort usb port extender ample lengthresult sturdy cable able connect dvr connection stable amazon basic reliablethis cable good device need extension usb like printer tv gaming console keyboard etcthe build quality good cable material soft break connector gold plated rustbut remember cable give usb speed even connect usb portfor usb usb used behave usb type adirection female malefunction extension length usbbuilt average clothfibre braiderlength mentionedworks connection yes including pcprinterconsole pen drive etc product per descriptiongood expected,0.9347,Positive
cable build quality good normal charging great cable doesnt support quick chargingworks charging application hit missexample external keyboard doesnt work itbest quality length wire qute good durability also good cable awesome charging issue till braided cable chance damage less overall like product using cable past day charge gthinq samsung sfe far supergoodseems durable problem design pin long enough base pin thick couldnt insert phone charging port without removing caseover quality bht achhi hai braided material use hua hai nylon nhi hai cotton type hai lekin cable hisaab bht achhi hai majboot hai charging bhi thik hai maine chapti wali buy thi photo dikh rhi hai lekin delever gol wali hui jada better look deti hai agar mile lena utne layak nhi hai,0.9419,Positive
charging fast expected maybe something wrong unit however cable overall actually pretty decent material great doesnt bend shape easily look feel premium length definitely plusgooda sturdy cable mobile chargingits month using charging cable work well thumb upbraided cable sturdy built well long cable add extra reach tangle freea good buy extra length help lotgood productok,0.9295,Positive
buy itreceived good condition working properlythis price cabil good also shorti using month charging phone good way really value money recommend cable cable perfect charging device support super fast charging used vehicle charger adapter sturdy durable daily usebest cable ever used amazon worth guy take itgood qualitybut priced,0.9778,Positive
good data cable recommend purchasethe issue metal pin fixed firmly become looseotherwise issuemust purchase cable sturdy fast charging cable three outlet jobgood sturdy micro usb cable good charging speed please dont raise pricesnice product simpla microusb cablebest pricegood one,0.8625,Positive
good productlikevery good item strong useful usb cablevalue moneythanks amazon producer product useful productsturdy support charging,0.9538,Positive
good budget mfi certified lightly cable price update usage review month better original one matter robustness durability better prospect charging far better durability original apple wire think buy blindly worth buy mfi certified io device damaged small negative point packaging quality productthe charger great carry accessory travelling without risking original chargerprice also affordable charging speed good good adaptor power bankgood product recommend thing see issue material cable thread peel stick velcro material wise good product charge well like originalnicereliable worth itthe cable shipped box made apple felt less sturdy reliable using one two time felt would break quickly lighting port order amazon basic cable mile better apple mifi certified,0.9909,Positive
job really well complaint regarding charging power price worth every buck although cable bit shorter original one original oneplus cable around huge price difference job original oneuseful type charging suitable adapter usb point serf purposesturdily built job well charged samsung galaxy quicker original cable hope stay going aheadliked charging speed disliked length ipads awesome foot long point think otherwise best cablegoodeverything good including connectivity stuffnice productim using carthis product nice worth amounti recommend anyone looking kind cable,0.986,Positive
posting week using productusage continuous ott cabledish operatoraverage daily usage hoursthe great valueformoney productinstallation installation simple amazon assisted installation smooth timely hasslefreepicture picture quality great compared smoothness sony samsung kind spec movie especially hire series experience somewhat diluted time output hire wouldnt look like movie quality used watching like sony samsung etc however time get used realize difference see movie someone elses better tvsound sound output decent wouldnt need additional support enhance volume suchremote sleek sensitive userfriendly exactly like amazon remoteos smart android work smoothly without much lag hiccup switching apps one another take couple second sony unless used performance look finestandalone first smart wouldnt find reason like quality would like hire beginning great value money product without doubthowever considering alternative second owning better one past hard time adjusting itpicture quality good price didnt faced lag browsing apps negative audio definitely need sound bar frequent movie watcher overall worth money spend installation process awful amazon claiming trained professional visit installation neither trained professional read installation manual installed wall mount took hour buy wall mount charging money demo given idea product thing making think twice thrice buy onlinescreen look amazing problem processor believe content getting streamed device observe green screen flickersnot often problem exists even remote control good take least sec react user actionreason believe processor bad gaming using never encountered problem screenif buy small town shop delivered installed immediately within couple hour want buy amazon need wait delivered couple day understandable problem installation take much time install end regretting buying product like hungry food front cant eat ordered monday got delivered friday installed monday weekend concept weekend small town technician detail could reach get installed also shared hour beforeregarding product good quality good average user heavy duty like game continuous usage store challenging guessthis give good result within budget definitely buy budget important point like mention sale service also installation part installation guy didnt arrive first day scheduled even rescheduling didnt came installation purpose strictly aware point got offer discount icici card although product came defective dead pixel display bad period time even fault seller defective piece didnt got replacement product totally unfair deal amazon seller toofinal verdict quality feature good service seller amazon got poor inspite prime member seller dawntech electronics private limited give poor service feel bad case amazon help thankyouteamalso added installation service product delivering unboxing need subvendor getting installation demo also dependency thirdparty involvement lessbad experience installation stuffpls look picture quality good sound quality upto xpectations able find real dolby stereo effect remote upto mark picture quality sound remote qualitygood quality picture hang home screen,0.8244,Positive
type available half prize make amazoncable good well built support sort charging protocol samsung galaxy ultra seems issue fall back slower charging second two ultra fast charging plugged work fine device finequality yhe cable good cable working month duracell team responsive replaced item immediately service good one problem thickness pin must improvedthe product upto expectation worth price braiding really good may need buy another cable againworth buying cable durableits tough material much durable toosuper fast charginglong lasting due sturdiness strong build qualityabsolute value money productplus yr warrantysometime bit difficult fold cable due sturdy build looking edgejust ita real value moneyvery sturdy priced,0.9758,Positive
using satisfactoryworking good also expensiveusing audio transition yamaha mgxu sound mixer laptop live purpose excellent qualitybought one half month work well satisfiedgood quality cheap pricegreat price work usb mic fantastically well find usb side bit loose compared original oem cable ordered several pair least mic loose called unusableworks casio ctx well,0.8625,Positive
note select brandauthorized installation unbox representative arrivesthis ensures damaged transportation get replacement easily didnt choose installation shoot video unboxing avoid hassle case replacement needed amazon prime netflix inbuilt sideloaded use set top box android interface need buy cable set else directly connect set box via hdmi port use conventionally memory get around free use check image attachedthere hundred review well youtube none explains tv potential completely actual flaw here quick fact user complaining less cost benefit ratio guy buy android box alone processing capacity similar would alone cost rupee get android setup various feature check option complainingeventually bought since already using version month wanted smaller version bedroom using week stating detailed user experience detailed huge review read want invest much amount want get quick overview device read else scroll detailed review firstly budget friendly smart current market number output port hdmi usb android box along inbuilt bluetooth dual interface patchwall android mostly prefer android interface remote bluetooth voice search sleek profile better processor compared predecessor along ram storage actual speaker output low need cable using set top box android interface amazon prime netflix preloaded side loaded native display though even video youtube work well check image attached install play ton high quality game like etc check image attached finally smartphone mirroring work fine timefull detailed review built quality combination plastic aluminium main body great average table top stand look bit flimsy workable screw provided box fit perfectly bought new local store averagely slim profile slimmest market speaker placement inconvenient since placed bottom keep table top sound tends dampen bulge good ventilation electronics hardly heat overall built quality averagedisplay quality thin bezel look great video resolution video work fine video youtube run smoothly well viewing angle good compared price check image attached contrast average brightness good colour quite vivid display quality also average greatremote control sleek compact button easy operate fortunately volume button handy couple android box without volume button remote know pain using mouse adjust volume placement voice search button improper power button end pressing power button lot finally bluetooth need point towards operationother feature dual interface patchwall android ton content many game installed till memory left including multiplayer game google voice search useful dont want use keyboard processing speed fast havent detected lag yet lag streaming due slow internet speed due hardware bluetooth wifi connectivity work perfectlycons speaker output though rated upto mark jbl speaker better louder sound placement speaker inconvenient table top position speaker face table sound dampens internal memory less netflix amazon prime pre loaded though side load miracast supported even normal smartphone mirroring lag sometimes native resolution though video work usb youtube screen slightly reflective similar almost led tv mixed experience sale servicecustomer care firstly installation joke installation scheduled day product delivery fun part there day replacement window product company take replacement product opened representative there point return window time frame mixed review repair service though encountered problem yet issue product service center near always helpfulverdict considering fact fine average display quality want smart tight budget certainly trust wont get better deal least coming couple month higher budget certainly explore brand like sony samsung etcthis perfect smart given price year warranty brainer choose certainly worth investmentthis television definitely perfect balance price performance especially flash sale exceptional price performance processor smart powerful enough play bit hevc video right box vlc player installed enhanced medium supportpicture quality many people complain overbright screen compensated adjusting display settingsthese preferred settingsbacklight night even lowest value bright enough watch content without hurting eyesduring day time adjust per requirement depending ambient lighting condition maximum would enoughsetting backlight minimum improves black level reduces power consumption increase led life reduces eye strain especially nightbrightness brightness setting control black levelincreasing brightness reduces black level hence reduces contrastbrightness picture look washed poor black color saturationat black look deep lot detail dark area lost watching movie optimal setting eye good black lack detailscontrast contrast setting control white levelcontrast set anywhere increasing contrast much may cause highlight area picture like bright sky shiny object might look overexposed screen bright increasing contrast make white look bright also color get washed increasing contrastsaturation color saturation set anywhere color look natural color look bit punchy still personal preferenceat setting black level color pleasing watching demo video oled tv youtube following youtube video help check black level quality tvlg oled beauty black demolg oled eclipse demolg demo art nouveaufull video look sharp downloaded sample hevc video named life untouched also hevc sample movie elysium played smoothly good detailsscreen quality think panel quality sits right ip panel screen glossy hence reflective might problem placed room window facing itlike lcd panel also also got uneven screen uniformity thats noticed plain dark grey background watching movie content problem screen non uniformity common issue even high end tv big brand like samsung etcluckily there backlight bleeding unit receivedviewing angle average loss contrast even low angle thats common panel characteristic ip panel good viewing angle cant expected price pointall lcd panel technology strength weakness ip panel good viewing angle poor black level panel excels black depth despite average viewing angle got impressive black levelssound quality bass bit weak think bass improved following update giving star loud even low volume midrange treble good even minute high pitched click tick sound movie heard clearlyeditin previous review mentioned setting sound good isnthz high value actually make sound muddy muffledthe following setting sound much better here reason bassfrequency setting deep bass male vocal instrument like kick drumtoms snare etc low midrangeenhances bass depth male vocal increasing much make sound muddy muffled reducing clarity high frequency sound midrangeimparts metallic tone increasing make sound tinny unpleasant upper midrangevocals especially female sound best frequency value enhances vocal quality increasing much make vocal harsh trebleadds crispiness sparkle vocal instrument enhances tinkling sound metallic instrumentshuman ear sensitive midrange upper midrange frequency setting value high cause listening fatigue even increasing disturbinggreat sound performance especially bass even expected television budget considering midrange frequency clear treble loudness deserves starsremote control minimalism great minimalism less functionality great addition ofmutetv setting video input selection button would made remote functionalapp support updatewhen released support netflix amazon prime pie update support netflix amazon prime deserves star app supportpros con pro powerful processor medium playback app installation via usb built chromecast bluetooth remote voice commandcons updatepreviously main issue lack autoplay function standby optionbut latest update issue solvednow turned automatically previous input sourceto enable settngs input enable stay previous source optionscreen feature also added new update long pressing power button show screen optionthe disadvantage left lack miracast latest update build miracast included perfectto sum upoverall considering picture quality powerful hardware price definitely deserve star devoid average audio quality glossy screen tv market feature price point also xiaomi got strong service support across indianew brand like iffalcon blaupunkt thomson etc might provide better option competitive price come service centre dead endi much satisfied purchaseits good productgoodif like best budget ill recommend stunning picture quality dts surround osm lagging problem miracast good build quality goodsound bass excellentproduct good sound quality crisp worth buying brought year back still working finegood quality,0.9997,Positive
look durable charging fine toono complainscharging really fast good producttill satisfied qualitythis good product charging speed slower original iphone cablegood quality would recommend worked well till date issuecable also sturdy enoughhave asked replacement company samevalue money,0.9419,Positive
easy useits good usefulhad using quite sometime support dual band signal coverage yet like others good use easy install useexcellent product revived old laptopi got product reason laptop internal wifi bluetooth stopped working option buy two separate device solves purpose doesnt stick wellits dual wifi suggest use ghz ghz bit slow slower regular ghzits good device good strength plug play installation neededbut got defective device first malfunction immediately plugging replaced new one working wellusing couple month proved much helpful adapter needed moved wired wireless different room getting speed mbps mbps subscription speed,0.979,Positive
worked iphone didnt work iphone didnt like still use workproduct quite good fast chargingloved iti like look last longthe sturdiness depend manner use speed charging great good product average income groupits great charging device various type port work best charging one device timegood item,0.9482,Positive
charging power less take hour charge even single phoneok type product sturdyalthough written fast charging however charge quite slow compared original charger even one mobile charged one timewhen using regular cable take hr full charge using cable socket charger showing hrsiphone charger last two month onlycharging fastslow chargingamh battery watt charger khant full chargeslow charging speed,0.1935,Positive
good quality tool linkwifi signal goodnice productoverall good better experienceit funcions properly useful mei want buy plus orange dvr worksniceits plug play need install driver support till ghz using jio wifi supporting connectivity first reason bought item surveillance camera house view mobile usedetc,0.9578,Positive
using day experience pretty good picture quality also bad dont expect something world price point tight budgetinitial impression work said glad didnt cheaper option costly plug play update screw upthe hdmi cable good watch moviesports give better quality connecting laptop play loved itworks expected length cable short mentioned also satisfied requirement need length better look optionsall goodits best hdmi cable price range problem yet expecting delivered time delivered timeproduct good tried cable wire amazon basica brandgood one,0.9844,Positive
overall replacement original samsung remoteits compatible easily samsung uhd tvbut voice command remoteworks well comment durability using monthsit us two batteryseems durableproduct quality good channel button doesnt work return replaced product result channel button doesnt workgood rather purchasing original one samsungwe expensive samsung tvtv great original remote started draining battery put new battery every day idealreplacing original remote costly affair good cheap replacement functionality except voice rarely useeverything work fine except number key important change channel waste money buy another remotelike design,0.9578,Positive
